Date,^DJI,^GSPC,^IXIC
2015-12-01,17425.029296875,2043.93994140625,5007.41015625
2016-01-01,16466.30078125,1940.239990234375,4613.9501953125
2016-02-01,16516.5,1932.22998046875,4557.9501953125
2016-03-01,17685.08984375,2059.739990234375,4869.85009765625
2016-04-01,17773.640625,2065.300048828125,4775.35986328125
2016-05-01,17787.19921875,2096.949951171875,4948.0498046875
2016-06-01,17929.990234375,2098.860107421875,4842.669921875
2016-07-01,18432.240234375,2173.60009765625,5162.1298828125
2016-08-01,18400.880859375,2170.949951171875,5213.22021484375
2016-09-01,18308.150390625,2168.27001953125,5312.0
2016-10-01,18142.419921875,2126.14990234375,5189.14013671875
2016-11-01,19123.580078125,2198.81005859375,5323.68017578125
2016-12-01,19762.599609375,2238.830078125,5444.5
2017-01-01,19864.08984375,2278.8701171875,5614.7900390625
2017-02-01,20812.240234375,2363.639892578125,5825.43994140625
2017-03-01,20663.220703125,2362.719970703125,5911.740234375
2017-04-01,20940.509765625,2384.199951171875,6047.60986328125
2017-05-01,21008.650390625,2411.800048828125,6198.52001953125
2017-06-01,21349.630859375,2423.409912109375,6140.419921875
2017-07-01,21891.119140625,2470.300048828125,6348.1201171875
2017-08-01,21948.099609375,2471.64990234375,6428.66015625
2017-09-01,22405.08984375,2519.360107421875,6495.9599609375
2017-10-01,23377.240234375,2575.260009765625,6727.669921875
2017-11-01,24272.349609375,2584.840087890625,6873.97021484375
2017-12-01,24719.220703125,2673.610107421875,6903.39013671875
2018-01-01,26149.390625,2823.81005859375,7411.47998046875
2018-02-01,25029.19921875,2713.830078125,7273.009765625
2018-03-01,24103.109375,2640.8701171875,7063.4501953125
2018-04-01,24163.150390625,2648.050048828125,7066.27001953125
2018-05-01,24415.83984375,2705.27001953125,7442.1201171875
2018-06-01,24271.41015625,2718.3701171875,7510.2998046875
2018-07-01,25415.189453125,2816.2900390625,7671.7900390625
2018-08-01,25964.8203125,2901.52001953125,8109.5400390625
2018-09-01,26458.310546875,2913.97998046875,8046.35009765625
2018-10-01,25115.759765625,2711.739990234375,7305.89990234375
2018-11-01,25538.4609375,2760.169921875,7330.5400390625
2018-12-01,23327.4609375,2506.85009765625,6635.27978515625
2019-01-01,24999.669921875,2704.10009765625,7281.740234375
2019-02-01,25916.0,2784.489990234375,7532.52978515625
2019-03-01,25928.6796875,2834.39990234375,7729.31982421875
2019-04-01,26592.91015625,2945.830078125,8095.39013671875
2019-05-01,24815.0390625,2752.06005859375,7453.14990234375
2019-06-01,26599.9609375,2941.760009765625,8006.240234375
2019-07-01,26864.26953125,2980.3798828125,8175.419921875
2019-08-01,26403.279296875,2926.4599609375,7962.8798828125
2019-09-01,26916.830078125,2976.739990234375,7999.33984375
2019-10-01,27046.23046875,3037.56005859375,8292.3603515625
2019-11-01,28051.41015625,3140.97998046875,8665.4697265625
2019-12-01,28538.439453125,3230.780029296875,8972.599609375
2020-01-01,28256.029296875,3225.52001953125,9150.9404296875
2020-02-01,25409.359375,2954.219970703125,8567.3701171875
2020-03-01,21917.16015625,2584.590087890625,7700.10009765625
2020-04-01,24345.720703125,2912.429931640625,8889.5498046875
2020-05-01,25383.109375,3044.31005859375,9489.8701171875
2020-06-01,25812.880859375,3100.2900390625,10058.76953125
2020-07-01,26428.3203125,3271.1201171875,10745.26953125
2020-08-01,28430.05078125,3500.31005859375,11775.4599609375
2020-09-01,27781.69921875,3363.0,11167.509765625
2020-10-01,26501.599609375,3269.9599609375,10911.58984375
2020-11-01,29910.369140625,3638.35009765625,12205.849609375
2020-11-27,29910.369140625,3638.35009765625,12205.8466796875
